b6710450001,cjGlrY9+z3QQyu2+wfGLQBBhwo35kiXejSmr/bLMAPw=,พรเพ็ญ วงศ์สมุทร,6710450001,default-profile-image.png,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,15/10/2024 09:02:01,รัตนาพร พงษ์ไทย,1,pornpen@ku.th,student
b6610450001,3YTZZbHMshvwrCHSh80UxbeOTEdKi7LixDK1HjLfn8k=,วีรพงศ์ มหาวงษ์,6610450001,default-profile-image.png,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,13/10/2024 10:06:06,รัตนาพร พงษ์ไทย,2,weerapong@ku.th,student
b6510450001,5chyds/oYjbC9X5behfpBkt4t3ou54Q5RinShuQfKGs=,กนกวรรณ พิริยกุล,6510450001,default-profile-image.png,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,21/08/2024 11:06:59,รัตนาพร พงษ์ไทย,3,kanokwan@ku.th,student
b6410450001,kp1Rx3AeWqIPLKjXeTvhLOcdB1yffxqFC5Mk1YcliUw=,สุนิสา พิทักษ์กุล,6410450001,default-profile-image.png,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,15/10/2024 12:02:29,รัตนาพร พงษ์ไทย,4,sunisa@ku.th,student
b6710450002,Ul5Eidn/Nutho7LG4ZRNglXH66TnGD+aDLdFJalpctM=,ชาตรี วัฒนานนท์,6710450002,default-profile-image.png,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,13/09/2024 13:04:09,รัตนาพร พงษ์ไทย,1,chatree@ku.th,student
b6610450002,ipVweU6k6lNWD8/q9B9GZIaY6IY83MuldMak0NkNLF8=,อภิชัย วงศ์สุข,6610450002,default-profile-image.png,วิทยาศาสตร์,เคมี,13/09/2024 20:06:24,สุวิทย์ วงศ์ชัย,2,apichai@ku.th,student
b6510450002,PeiACsePGRhwqeKktI/txBexYdmPmlTaLtnmICrxTr0=,วิศรุต ศิริพงษ์,6510450002,default-profile-image.png,วิทยาศาสตร์,เคมี,12/08/2024 12:55:56,สุวิทย์ วงศ์ชัย,3,wisarut@ku.th,student
b6410450002,Vj7Xnm/IRQvWyZUpupsrnygrrronhRKF+7mc22zFlPI=,ภัทรพล เกียรติชัย,6410450002,default-profile-image.png,วิทยาศาสตร์,เคมี,15/07/2024 18:09:59,สุวิทย์ วงศ์ชัย,4,pattharapon@ku.th,student
b6710450003,66Z03WgzhByqwewGQMwuedse0e/rBuDEJK1yFcg7QlA=,ชยพล พรประภา,6710450003,default-profile-image.png,วิทยาศาสตร์,เคมี,07/09/2024 21:30:47,สุวิทย์ วงศ์ชัย,1,chayapol@ku.th,student
b6610450003,kOKQ5zwIegHIcCJ1+0kDBor7VpL5qKkezIClFkcGGHA=,ปราณี ทองสุข,6610450003,default-profile-image.png,วิทยาศาสตร์,เคมี,09/10/2024 21:32:27,สุวิทย์ วงศ์ชัย,2,pranee@ku.th,student
